ADAMTS5	ENST00000284987.5
ARID4A	ENST00000355431.7
ARID4A	ENST00000355431.7
ARID4B	ENST00000264183.7
ARID4B	ENST00000264183.7
AXL	ENST00000301178.8
CHD2	ENST00000394196.8
DPF3	ENST00000556509.5
EMX1	ENST00000258106.10
EMX1	ENST00000258106.10
FGF7	ENST00000614567.4
NR5A1	ENST00000373588.8
SF1	ENST00000373588.8
PIN1	ENST00000311106.7
POLR3A	ENST00000247970.8
POLR3B	ENST00000372371.7
RGS5	ENST00000308304.2
SEMA7A	ENST00000313961.9
SEMA7A	ENST00000261918.8
SOX10	ENST00000261918.8
SOX3	ENST00000325404.2
TRIM2	ENST00000370536.4
TRIM2	ENST00000437508.6

